,name,project_type,category,chain,explorer,contract_type,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid,recipient,address
0,0x,App,DEX,Base,https://basescan.org/address/0xdef1c0ded9bec7f1a1670819833240f027b25eff,dapp_contract,metrics_available,1543115.0,154685.0,3984.0,9828.0,2811827.0,361243.0,5434.0,27040.0,89eb0a1c-36f6-4455-af98-c822064425bb,0xE4EE538019673501F4B75de5aF5CC073Ec0A1487,0xdef1c0ded9bec7f1a1670819833240f027b25eff
1,Aerodrome Finance,App,DEX,Base,https://basescan.org/address/0x940181a94a35a4569e4529a3cdfb74e38fd98631,token_contract,metrics_available,26251866.0,196067.0,7605.0,12760.0,36012251.0,300062.0,7534.0,21417.0,b4d81636-0080-49bd-8039-0721b3ea716c,0xc687f7c9BDfF8d40cF4f789FA105f7dCF0771d6a,0x940181a94a35a4569e4529a3cdfb74e38fd98631
2,AI,App,Real World Assets,Base,https://basescan.org/address/0xf1a871af236ec0da070c3b09302270ccf4e35794,dapp_contract,metrics_available,41.0,21.0,0.0,1.0,55.0,28.0,0.0,3.0,c31e36bc-69ad-40e8-a3b9-29f5c1d6d86a,0xf1a871aF236eC0Da070C3b09302270Ccf4E35794,0xf1a871af236ec0da070c3b09302270ccf4e35794
3,Air3,App,Art Marketplace,Optimism,https://optimistic.etherscan.io/address/0xfd4ccd0ccab4e31cce600bd7f6b9a42623294b1c,dapp_contract,metrics_available,1774.0,1104.0,13.0,261.0,1774.0,1104.0,6.0,261.0,795a96c7-4d7e-4c58-8958-aad52d6a8f12,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,0xfd4ccd0ccab4e31cce600bd7f6b9a42623294b1c
4,Amazing Hunt,App,Art NFTs,Optimism,https://optimistic.etherscan.io/address/0x0db19369d6d62237d065677cf05c1b0a1236bb0a,dapp_contract,metrics_available,1179.0,3.0,0.0,0.0,1179.0,3.0,0.0,0.0,657d3052-63b9-499a-8898-ee74a2d4c0e7,0x9D63038e7f74bc089eb38e61Be8Da937918900D6,0x0db19369d6d62237d065677cf05c1b0a1236bb0a
5,Another World,App,Gaming,Optimism,https://optimistic.etherscan.io/address/0x56edafc97279c53a74c1c105abeebc79e0936c73,dapp_contract,metrics_available,57.0,3.0,0.0,1.0,142.0,5.0,0.0,1.0,3d669a90-f377-4e3b-91f0-8d0818d5f1f3,0x6cfbF06E8b6612B39333eA7c230208D1d178278d,0x56edafc97279c53a74c1c105abeebc79e0936c73
6,ArbiLearn,App,Community & Curation,Optimism,https://optimistic.etherscan.io/address/0x85ba183fb4c16d435b076dde459dafc8eff864d8,trace_contract,metrics_available,18.0,10.0,0.0,0.0,18.0,10.0,0.0,0.0,6abc3227-4e7f-4786-863c-abdd23f488a2,0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,0x85ba183fb4c16d435b076dde459dafc8eff864d8
7,ArbiLearn,App,Community & Curation,Optimism,https://optimistic.etherscan.io/address/0x85ba183fb4c16d435b076dde459dafc8eff864d8,trace_contract,metrics_available,18.0,10.0,0.0,0.0,18.0,10.0,0.0,0.0,72d91704-0a5f-4ec7-9e6b-92d5d72df0bc,0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,0x85ba183fb4c16d435b076dde459dafc8eff864d8
8,Attesta_Mesta,App,Payments,Base,https://basescan.org/address/0x42d41fe67832eaead51b75d61a132d16a86892f7,trace_contract,metrics_available,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,fdceb040-c3e7-4096-a801-6c75adf400ed,0xA8F0048A0d1A04663Ca5010d0bEaC5BCAEeA0eef,0x42d41fe67832eaead51b75d61a132d16a86892f7
9,Balancer,App,DEX,Mode,https://explorer.mode.network/address/0xba12222222228d8ba445958a75a0704d566bf2c8,dapp_contract,metrics_available,4867.0,2415.0,43.0,820.0,4869.0,2415.0,21.0,820.0,36037695-465b-46bf-8af8-917d96a2d176,0x6a2E16EA3a608E8D697B3fc0f59d0012A76901e4,0xba12222222228d8ba445958a75a0704d566bf2c8
10,Balancer,App,DEX,Optimism,https://optimistic.etherscan.io/address/0xba12222222228d8ba445958a75a0704d566bf2c8,dapp_contract,metrics_available,21900.0,8964.0,206.0,3726.0,41739.0,13731.0,187.0,4428.0,bc122237-96a4-48b9-a568-acd523b799cb,0x6a2E16EA3a608E8D697B3fc0f59d0012A76901e4,0xba12222222228d8ba445958a75a0704d566bf2c8
11,Balancer,App,DEX,Base,https://basescan.org/address/0xba12222222228d8ba445958a75a0704d566bf2c8,dapp_contract,metrics_available,44148.0,22967.0,378.0,1054.0,127997.0,55912.0,536.0,2232.0,d8a47ba1-e10c-4499-80f1-17694ed786b1,0x6a2E16EA3a608E8D697B3fc0f59d0012A76901e4,0xba12222222228d8ba445958a75a0704d566bf2c8
12,Bario Entertainment System,App,Gaming,Base,https://basescan.org/address/0x814fe70e85025bec87d4ad3f3b713bdcaac0579b,token_contract,metrics_available,3630.0,584.0,9.0,57.0,3630.0,584.0,4.0,57.0,12aef6c3-f681-4483-80be-d754b7f1990a,0x702ba46435D1E55B18440100BC81EB055574875e,0x814fe70e85025bec87d4ad3f3b713bdcaac0579b
13,Based Bits,App,Art NFTs,Base,https://basescan.org/address/0xe842537260634175891925f058498f9099c102eb,dapp_contract,metrics_available,4469.0,192.0,49.0,114.0,6367.0,294.0,35.0,163.0,08868559-3e11-4d15-9ec4-6a589a2d91f2,0x1d671d1B191323A38490972D58354971E5c1cd2A,0xe842537260634175891925f058498f9099c102eb
14,BasedChad,App,Meme Community,Base,https://basescan.org/address/0x17931cfc3217261ce0fa21bb066633c463ed8634,token_contract,metrics_available,9051.0,1329.0,30.0,138.0,49158.0,8860.0,106.0,1138.0,fdb1b477-97c1-40a3-8fba-8cdcd1db580b,0x6E23873AB8dD6Fb4823dF8A92D43643Fff537684,0x17931cfc3217261ce0fa21bb066633c463ed8634
15,Basepaint,App,Art NFTs,Base,https://basescan.org/address/0xe6249eafdc9c8a809fe28a5213120b1860f9a75f,dapp_contract,metrics_available,5574.0,412.0,43.0,142.0,12738.0,661.0,55.0,206.0,127b9325-9491-42cb-af85-94a69055b52a,0xb48E8dA63c2aFc5633702B7acf4BDe830c1dE48b,0xe6249eafdc9c8a809fe28a5213120b1860f9a75f
16,BaseSwap ,App,DEX,Base,https://basescan.org/address/0x2b0a43dccbd7d42c18f6a83f86d1a19fa58d541a,dapp_contract,metrics_available,21.0,12.0,0.0,2.0,63.0,47.0,0.0,7.0,83ab7eff-40a3-4d89-bf28-368a5a16faa3,0xbD90Fa61ee83123A5c42EB2024Cd00FEDBb932AE,0x2b0a43dccbd7d42c18f6a83f86d1a19fa58d541a
17,BCard,App,Donations,Optimism,https://optimistic.etherscan.io/address/0xdec5bd388d7eeeee6c613a6eb75abcab0f6e3bdc,trace_contract,metrics_available,7.0,2.0,0.0,1.0,7.0,2.0,0.0,1.0,550daa9a-e20c-439f-b816-7a0eb229b5c1,0x74fa01a5D0ef8039f1E14F4d4C8f90e8602e07B4,0xdec5bd388d7eeeee6c613a6eb75abcab0f6e3bdc
18,$BDOOGS,App,Meme Community,Base,https://basescan.org/address/0xfcb65dc6758e2cfd8f1dcdfad185bd4648b0e9c5,token_contract,metrics_available,10.0,7.0,0.0,2.0,10.0,7.0,0.0,2.0,52af194c-b618-47a2-9a64-61c27a21d16b,0x823c6115651D915614EB8d9f899d6d1FA939936D,0xfcb65dc6758e2cfd8f1dcdfad185bd4648b0e9c5
19,Beefy,App,Other Category,Optimism,https://optimistic.etherscan.io/address/0x55d0efec44ee905fc3e12ccb9f25bbd5cce0ab9c,dapp_contract,metrics_available,41.0,2.0,0.0,0.0,41.0,2.0,0.0,0.0,09baa82a-7357-46e3-92f5-e9eee6fcf78f,0xEfCCa47CD11D4b1637e4d52a84Ed5dafFAd38F04,0x55d0efec44ee905fc3e12ccb9f25bbd5cce0ab9c
20,Beefy,App,Other Category,Optimism,https://optimistic.etherscan.io/address/0xa6d3769fac465fc0415e7e9f16dcdc96b83c240b,dapp_contract,metrics_available,123.0,5.0,0.0,0.0,230.0,7.0,0.0,0.0,51c0df81-19ad-49bb-9a31-22f3b91f8582,0xEfCCa47CD11D4b1637e4d52a84Ed5dafFAd38F04,0xa6d3769fac465fc0415e7e9f16dcdc96b83c240b
21,Beefy,App,Other Category,Base,https://basescan.org/address/0xbc4a342b0c057501e081484a2d24e576e854f823,dapp_contract,metrics_available,127.0,7.0,0.0,0.0,336.0,13.0,0.0,0.0,97cabf58-7c53-4a67-b012-c41089efca7d,0xEfCCa47CD11D4b1637e4d52a84Ed5dafFAd38F04,0xbc4a342b0c057501e081484a2d24e576e854f823
22,Beefy,App,Other Category,Mode,https://explorer.mode.network/address/0xbc4a342b0c057501e081484a2d24e576e854f823,dapp_contract,metrics_available,2.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,b0d81cb2-db15-44c5-bfd7-15d5051bb1a8,0xEfCCa47CD11D4b1637e4d52a84Ed5dafFAd38F04,0xbc4a342b0c057501e081484a2d24e576e854f823
23,Beefy,App,Other Category,Base,https://basescan.org/address/0x7bc78990ac1ef0754cfde935b2d84e9acf13ed29,dapp_contract,metrics_available,59.0,3.0,0.0,0.0,59.0,3.0,0.0,0.0,f3e64503-ac75-4eb7-8d55-46c0ec60d638,0xEfCCa47CD11D4b1637e4d52a84Ed5dafFAd38F04,0x7bc78990ac1ef0754cfde935b2d84e9acf13ed29
24,BerryLab,App,Other Category,Base,https://basescan.org/address/0x4c3de014695f6330aa8e58731084424ef7ff78fb,dapp_contract,metrics_available,129.0,106.0,1.0,74.0,129.0,106.0,0.0,74.0,5523b0e7-3038-46cc-9218-5f5e52042b14,0x76a71d7D72d746B20187461baCE98806ebBa652f,0x4c3de014695f6330aa8e58731084424ef7ff78fb
25,BetBase,App,Betting & Prediction Markets,Base,https://basescan.org/address/0x80f6bcedd3d4fa1035285affa30e38f464db3895,token_contract,metrics_available,12901.0,2146.0,60.0,198.0,32785.0,4295.0,68.0,456.0,8bd5539d-ef65-4f2c-9014-3fc11620f12f,0x013437412c41716f72B54fE66d7c11858aFe4894,0x80f6bcedd3d4fa1035285affa30e38f464db3895
26,BLOCKLORDS,App,Gaming,Base,https://basescan.org/address/0x0982b3a5b24b2bd8ef74126e15fca2decfd75a28,dapp_contract,metrics_available,152353.0,290.0,4.0,19.0,152363.0,292.0,2.0,19.0,0d9b31cc-c2ef-41c3-8ba0-dea4a3a37de1,0x460464c72E010A805043195c56690347f67BE746,0x0982b3a5b24b2bd8ef74126e15fca2decfd75a28
27,BMX by Morphex,App,DEX,Base,https://basescan.org/address/0x927f9c03d1ac6e2630d31e614f226b5ed028d443,dapp_contract,metrics_available,1160.0,116.0,5.0,10.0,3545.0,253.0,5.0,37.0,a622ebca-d695-487e-adc9-931372135973,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0x927f9c03d1ac6e2630d31e614f226b5ed028d443
28,BMX,App,DEX,Base,https://basescan.org/address/0xf9fc0b2859f9b6d33fd1cea5b0a9f1d56c258178,dapp_contract,metrics_available,479.0,49.0,2.0,2.0,1031.0,72.0,1.0,8.0,094ee083-01d1-41f8-81c6-3fe33232a8c7,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0xf9fc0b2859f9b6d33fd1cea5b0a9f1d56c258178
29,BMX,App,DEX,Base,https://basescan.org/address/0xc608188e753b1e9558731724b7f7cdde40c3b174,dapp_contract,metrics_available,457.0,374.0,4.0,125.0,1161.0,800.0,5.0,174.0,5569f166-7c5c-4cdf-a11b-5a4280086a5a,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0xc608188e753b1e9558731724b7f7cdde40c3b174
30,BMX,App,DEX,Base,https://basescan.org/address/0x1e4eed8fd57dfbaae060f894582ec0183c5d6e38,dapp_contract,metrics_available,88332.0,3.0,2.0,1.0,157710.0,3.0,2.0,1.0,6a1f5979-e9ab-4971-a7ec-80ce58ad15d6,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0x1e4eed8fd57dfbaae060f894582ec0183c5d6e38
31,BMX,App,DEX,Base,https://basescan.org/address/0x4e74d4db6c0726ccded4656d0bce448876bb4c7a,token_contract,metrics_available,55520.0,3660.0,136.0,565.0,107154.0,5592.0,132.0,1096.0,78b87055-ab6e-4fea-8808-d78eaadc2d3f,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0x4e74d4db6c0726ccded4656d0bce448876bb4c7a
32,BMX,App,DEX,Base,https://basescan.org/address/0x548f93779fbc992010c07467cbaf329dd5f059b7,token_contract,metrics_available,33954.0,3427.0,116.0,454.0,62965.0,5844.0,109.0,988.0,8e44e5b4-87ae-4d63-96eb-b0849eb394ad,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0x548f93779fbc992010c07467cbaf329dd5f059b7
33,BMX,App,DEX,Base,https://basescan.org/address/0x6d63921d8203044f6abad8f346d3aea9a2719ddd,dapp_contract,metrics_available,9736.0,89.0,7.0,19.0,10320.0,109.0,4.0,20.0,954f07a8-715d-415f-a211-0602eaeac7d2,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0x6d63921d8203044f6abad8f346d3aea9a2719ddd
34,BMX,App,DEX,Base,https://basescan.org/address/0x6456039168d3fe3bc5fcd9e46f3b716c1abd4ff4,dapp_contract,metrics_available,877.0,178.0,7.0,19.0,2706.0,385.0,10.0,45.0,fb221b04-388b-4bb2-be7b-fc95dfc13e51,0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,0x6456039168d3fe3bc5fcd9e46f3b716c1abd4ff4
35,Boregon Trail,App,Gaming,Base,https://basescan.org/address/0x70737489dfdf1a29b7584d40500d3561bd4fe196,token_contract,metrics_available,74768.0,2648.0,75.0,962.0,183331.0,19870.0,234.0,6407.0,b6dff2cb-33fa-449a-8434-6ef6ea5624c6,0x0c9E725902f2eeEC063c16d253F38684E3192001,0x70737489dfdf1a29b7584d40500d3561bd4fe196
36,BSX,App,DEX,Base,https://basescan.org/address/0x26a54955a5fb9472d3edfeac9b8e4c0ab5779ed3,dapp_contract,metrics_available,45764.0,130.0,3.0,23.0,58333.0,1032.0,9.0,143.0,74068a98-86e1-412c-8e44-c3602d55b284,0x974dD3B4e5E00BC3117Fbba15E521B6B5aFC151C,0x26a54955a5fb9472d3edfeac9b8e4c0ab5779ed3
37,BUILD,App,Community & Curation,Base,https://basescan.org/address/0x3c281a39944a2319aa653d81cfd93ca10983d234,token_contract,metrics_available,236731.0,50356.0,871.0,30915.0,388406.0,61979.0,655.0,35003.0,9833b9ba-50c0-4119-a480-1815f0b8fd3f,0xC925bD0E839E8e22A7DDEbe7f4C21b187deeC358,0x3c281a39944a2319aa653d81cfd93ca10983d234
38,BUZZAR,App,Donations,Base,https://basescan.org/address/0xc1b6844d5134c8e550043f01ffbf49ca66efc77f,token_contract,metrics_available,209.0,68.0,2.0,1.0,333.0,77.0,1.0,1.0,7f2d11e3-2b97-4e36-b732-ac349ed2f1c7,0x9dE1C45449258a21B51fe69eB6cef1Fd71E459a4,0xc1b6844d5134c8e550043f01ffbf49ca66efc77f
39,Cat Town | Gacha,App,Gaming,Base,https://basescan.org/address/0xb75ff8958891ccf264dab717ccd9722acc939f0d,dapp_contract,metrics_available,43.0,4.0,0.0,3.0,43.0,4.0,0.0,3.0,77e31db9-a73e-4aad-a8eb-694bd5c0ae54,0xf40eD759BF4C05DF1Af180FE27d470E52D7ca611,0xb75ff8958891ccf264dab717ccd9722acc939f0d
40,Cat Town,App,Gaming,Base,https://basescan.org/address/0x8f9c456c928a33a3859fa283fb57b23c908fe843,dapp_contract,metrics_available,60262.0,1258.0,54.0,96.0,66079.0,1274.0,28.0,99.0,2501e7cb-57f8-4e70-ac38-bcf8efdeae08,0xa6BeE3f99eE2b70672A34A983AF0bBF79C028CD9,0x8f9c456c928a33a3859fa283fb57b23c908fe843
41,Cat Town,App,Gaming,Base,https://basescan.org/address/0x10a77395a07917c5eb71feeb86696b7612f9730f,dapp_contract,metrics_available,79874.0,4285.0,696.0,240.0,89682.0,4462.0,394.0,258.0,3838464c-4733-491d-8c02-6c4cad6d53b1,0xa6BeE3f99eE2b70672A34A983AF0bBF79C028CD9,0x10a77395a07917c5eb71feeb86696b7612f9730f
42,CC: App Type 8.20.24,App,Other Media NFTs,Base,https://basescan.org/address/0xe0fe6dd851187c62a79d00a211953fe3b5cec7fe,dapp_contract,metrics_available,24515.0,22132.0,256.0,2299.0,24515.0,22132.0,128.0,2299.0,1e90433c-90da-444b-a9c0-7f2a50caf423,0x265985d0a57A4339509cd785f854668055924AF5,0xe0fe6dd851187c62a79d00a211953fe3b5cec7fe
43,Charged Particles - Web3 Packs,App,Other Category,Mode,https://explorer.mode.network/address/0x2c1ef27186ae0d306c195b40c8907eef7586f388,dapp_contract,metrics_available,65.0,23.0,0.0,9.0,65.0,23.0,0.0,9.0,5f081f0e-9834-449a-b748-fa86bcfd08c7,0x75F2Ef654919CA7fd03E73BfDF60b9460e5cDE8D,0x2c1ef27186ae0d306c195b40c8907eef7586f388
44,Checkin: Location-based “Checkin and Earn” social to connect IRL and onchain,App,Gaming,Base,https://basescan.org/address/0x224b2491f28f4a6bde6b515b2371136fe38f5ba2,dapp_contract,metrics_available,1922.0,320.0,4.0,290.0,1922.0,320.0,2.0,290.0,649e921b-3f19-4a5a-8d8e-6a42508c2741,0x357843d6d1ECE85ABA4032EfA31a2e813F519261,0x224b2491f28f4a6bde6b515b2371136fe38f5ba2
45,Collectr,App,Art NFTs,Base,https://basescan.org/address/0x5d594f484fd286e77363ef5c1deac44d255b5484,dapp_contract,metrics_available,217.0,164.0,2.0,52.0,217.0,164.0,1.0,52.0,cb6ef65c-3136-4af7-9be1-c993d8789376,0x08D816526BdC9d077DD685Bd9FA49F58A5Ab8e48,0x5d594f484fd286e77363ef5c1deac44d255b5484
46,Copin.io,App,DEX,Optimism,https://optimistic.etherscan.io/address/0xb27a14fa98608a95d81c22023f09648f2cb714c2,dapp_contract,metrics_available,4.0,3.0,0.0,0.0,437.0,427.0,2.0,2.0,1f2e7de2-fd5e-4df9-ba8c-f37e1bec64fd,0xcb8515FD5A82e9aCf0c4A96959504ffcAB891B97,0xb27a14fa98608a95d81c22023f09648f2cb714c2
47,Daimo,App,Payments,Base,https://basescan.org/address/0xf9d643f5645c6140b8eeb7ef42878b71ebfee40b,dapp_contract,metrics_available,1965.0,2.0,1.0,0.0,4373.0,2.0,1.0,0.0,dcb7fb46-54dd-4887-954f-53c69f819f8e,0xF05b5f04B7a77Ca549C0dE06beaF257f40C66FDB,0xf9d643f5645c6140b8eeb7ef42878b71ebfee40b
48,Da Performers,App,Gaming,Base,https://basescan.org/address/0xafa0c0a5a706538c40031224b89d9a5ac6004c65,dapp_contract,metrics_available,9.0,6.0,0.0,5.0,48.0,9.0,0.0,6.0,ad7d7772-20a5-4786-b34a-3df2cdbe2ff3,0x99Fc221482ca78664d0288FfC6531cb6dfEB0c5a,0xafa0c0a5a706538c40031224b89d9a5ac6004c65
49,datalatte,App,Frames,Base,https://basescan.org/address/0x79e2b756f9c4c12bd8f80c0aeeb7b954e52ff23c,dapp_contract,metrics_available,73.0,4.0,0.0,3.0,73.0,4.0,0.0,3.0,78f0eac0-c56e-489c-a4e3-9c700ccf4ce8,0x022541dF816F50CfC6ce60c9de80619F44f7CeF1,0x79e2b756f9c4c12bd8f80c0aeeb7b954e52ff23c
50,Definitive Finance,App,DEX,Base,https://basescan.org/address/0xd056c0eee354b24fe7c5d4ee762c4d7574badac1,trace_contract,metrics_available,84544.0,170.0,9.0,0.0,192279.0,515.0,14.0,0.0,6a11ad77-d1d4-47ce-ba2f-d89cf853fd00,0x9ff6d5452a0847949683F97E868d706254a05007,0xd056c0eee354b24fe7c5d4ee762c4d7574badac1
51,Degenfans gated frames,App,Frames,Base,https://basescan.org/address/0x66009decff7db78480bec8a87e042a7eb4bfd23b,trace_contract,metrics_available,41.0,18.0,0.0,15.0,41.0,18.0,0.0,15.0,c6bad58d-bae9-443d-baa4-40f2548a7e3c,0xBc57373c9B99524f6300664e2602A0427A9ec0db,0x66009decff7db78480bec8a87e042a7eb4bfd23b
52,Degen Name Service,App,Identity,Base,https://basescan.org/address/0x465ea4967479a96d4490d575b5a6cc2b4a4bee65,dapp_contract,metrics_available,52.0,19.0,0.0,2.0,52.0,19.0,0.0,2.0,6d5a0660-c0c9-4936-8621-406289645d2b,0x2462B983E444B317C999b85CE3BBa79840D36F76,0x465ea4967479a96d4490d575b5a6cc2b4a4bee65
53,Demo STG Project - Contract - Prelaunch,App,Real World Assets,Optimism,https://optimistic.etherscan.io/address/0xe3c332a5dce0e1d9bc2cc72a68437790570c28a4,token_contract,metrics_available,59.0,25.0,0.0,2.0,361.0,95.0,1.0,17.0,3ef45361-b5be-4fea-9ca7-841ca479a89f,0x4A29c8fF7D6669618580A68dc691565B07b19e25,0xe3c332a5dce0e1d9bc2cc72a68437790570c28a4
54,dHEDGE Base,App,DEX,Base,https://basescan.org/address/0x49afe3abcf66cf09fab86cb1139d8811c8afe56f,dapp_contract,metrics_available,26.0,17.0,0.0,2.0,57.0,35.0,0.0,5.0,e1020776-ad77-4f46-9736-180038ff0896,0x5083602Bc796Ff1435769a4C66AFD482a4e6E08A,0x49afe3abcf66cf09fab86cb1139d8811c8afe56f
55,dHEDGE,App,DEX,Optimism,https://optimistic.etherscan.io/address/0x5e61a079a178f0e5784107a4963baae0c5a680c6,dapp_contract,metrics_available,22.0,21.0,0.0,1.0,88.0,57.0,0.0,5.0,3df2cd3b-06f9-42d3-8a5f-a8e5b377a127,0x5083602Bc796Ff1435769a4C66AFD482a4e6E08A,0x5e61a079a178f0e5784107a4963baae0c5a680c6
56,Dot,App,Gaming,Base,https://basescan.org/address/0xdc50bffdc67d3657e45aa9fe0d3d426d16b33ae7,dapp_contract,metrics_available,17553.0,1503.0,20.0,60.0,18936.0,1511.0,10.0,62.0,7184f549-29f4-47c2-bdef-d5c6d569f678,0xFE35e15bE885750D9b2363cbB6aBDd57AC9C4c40,0xdc50bffdc67d3657e45aa9fe0d3d426d16b33ae7
57,Dragon Academy,App,Identity,Base,https://basescan.org/address/0xcb1e86b32cf0b7f5949e829716408f6d6ab373fe,trace_contract,metrics_available,21.0,12.0,0.0,4.0,21.0,12.0,0.0,4.0,d43a073e-a744-43a7-804c-3e1c402c2c9a,0x8d17B248525EDB99cc36c4D458871aDC8B025cD0,0xcb1e86b32cf0b7f5949e829716408f6d6ab373fe
58,EFIHUB,App,Gaming,Base,https://basescan.org/address/0x2be665ab9b4507278b0965332a4d0907f7cffdc2,dapp_contract,metrics_available,62.0,21.0,0.0,4.0,109.0,30.0,0.0,11.0,ddbf8816-6804-4541-8e2a-1b99cd1a4d5a,0xbB08A11275989a00b0bFbEE807dfb5e18AA3d19B,0x2be665ab9b4507278b0965332a4d0907f7cffdc2
59,Ethereum Ecosystem,App,Community & Curation,Optimism,https://optimistic.etherscan.io/address/0x4200000000000000000000000000000000000021,dapp_contract,metrics_available,12886.0,834.0,19.0,346.0,40355.0,1694.0,23.0,685.0,e76e956b-4d97-4568-ab35-3f2753f37969,0xB03E094e643a50E145E804b35787C28292E6Afe4,0x4200000000000000000000000000000000000021
60,Event Horizon DEX,App,DEX,Optimism,https://optimistic.etherscan.io/address/0x948c634086661bda90cd15246ea4fe98b03530a2,dapp_contract,metrics_available,46207.0,45660.0,510.0,5226.0,46224.0,45677.0,255.0,5229.0,278bd0d9-4887-44bb-bbdd-37f88a5f0e6b,0x091Ce12B4592f1b434e597374BF6F054904F200A,0x948c634086661bda90cd15246ea4fe98b03530a2
61,Event Horizon DEX,App,DEX,Optimism,https://optimistic.etherscan.io/address/0x026968b5ced079eccd6cc78f35a5dfddc13f9af8,dapp_contract,metrics_available,3157.0,2373.0,32.0,312.0,3157.0,2373.0,16.0,312.0,3b2e3fce-6673-4e1d-8b7d-83431ad27ee6,0x091Ce12B4592f1b434e597374BF6F054904F200A,0x026968b5ced079eccd6cc78f35a5dfddc13f9af8
62,Event Horizon DEX,App,DEX,Optimism,https://optimistic.etherscan.io/address/0x7101f6810ee5af89bc669aff7684e3f3bf30d568,dapp_contract,metrics_available,497.0,215.0,2.0,13.0,497.0,215.0,1.0,13.0,3bbe2463-0d9b-4d12-bf59-1eaab405e941,0x091Ce12B4592f1b434e597374BF6F054904F200A,0x7101f6810ee5af89bc669aff7684e3f3bf30d568
63,Event Horizon DEX,App,DEX,Optimism,https://optimistic.etherscan.io/address/0xa3afba1b88eab52db731ad1cf618ce5254b2592b,dapp_contract,metrics_available,1780.0,1765.0,19.0,176.0,1780.0,1765.0,9.0,176.0,4c5edadc-00b0-4063-a62c-fc768c164921,0x091Ce12B4592f1b434e597374BF6F054904F200A,0xa3afba1b88eab52db731ad1cf618ce5254b2592b
64,Event Horizon DEX,App,DEX,Optimism,https://optimistic.etherscan.io/address/0x459b604d9528a7de94d6bd2e1dc06907682ff6d6,dapp_contract,metrics_available,869.0,35.0,2.0,7.0,880.0,36.0,1.0,7.0,578a22eb-31d1-47d4-90fe-516b380b588a,0x091Ce12B4592f1b434e597374BF6F054904F200A,0x459b604d9528a7de94d6bd2e1dc06907682ff6d6
