transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2025-01-28,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-30,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
